,LOCATION,TIME,A0101,A0102,A0103,A0104,A0105,A0106,A0107,A0108,A0109,A0110,A0111,A0112,Value
218,Denmark,2002,7740.180627142857,3065.8253071428576,3019.026416428572,17261.70768357143,3717.6929792857145,10851.61087857143,7669.69455,1392.2243121428571,8726.535867142857,7904.004914285714,3442.2767928571425,16083.967446428573,121.0
219,Denmark,2003,5234.28240125,2112.38286875,2170.8222483333334,12046.871837083332,2603.81957875,7487.306562500001,4868.322391666667,1158.3203475,6198.353910416667,5338.786320833334,2319.916979166667,11250.550487499999,136.0
220,Denmark,2004,5417.987425,2133.2619970833334,2258.7739866666666,12700.734714166667,2707.3883375,7905.732383333333,5790.008158333333,1273.8980258333333,6617.3607204166665,5622.559458333333,2445.4088916666665,11610.642087499999,140.0
221,Denmark,2005,5492.586755416666,2169.81324375,2283.1049533333335,13252.00412625,2815.227335833333,8289.461629166666,6566.7092999999995,1276.9800995833332,7031.362997083333,5703.549516666667,2608.705604166667,12161.630408333333,141.0
222,Denmark,2006,5656.638120833333,2168.1605616666666,2476.4073258333333,13814.111072500002,2999.237896666667,8917.467345833333,7118.3590875,1230.6720058333333,7535.558641250001,5953.583666666666,2844.9397000000004,12826.302424583335,140.0
223,Denmark,2007,5860.318266666666,2257.2275916666667,2665.4314575000003,14158.238554166666,3174.30811125,9501.054919583334,7310.509612499999,1402.66128375,7711.149770416666,5746.87923,3056.203229166667,13959.942517916666,145.0
224,Denmark,2008,6356.6467375,2207.62167375,2601.41669375,14787.605727916665,3210.1265633333333,10032.3552125,7035.649258333334,1522.6062983333334,7706.234637083333,6006.27085,3140.773945833333,14716.045006666667,147.0
225,Denmark,2009,6203.368492916667,2248.5098354166666,2660.888235,15050.4116575,2954.2314929166664,10801.8941825,5984.5903875,1387.97085875,7274.576879166667,6339.764695833333,2934.243458333333,15009.107104166666,142.0
226,Denmark,2010,6398.0077974999995,2202.311834583333,2675.639905833333,16334.111041666665,2985.665140833333,11066.093029583333,6365.462049999999,1392.3773883333333,7293.455960416667,6652.5439541666665,2973.79625,15460.090928750002,133.0
227,Denmark,2011,6511.012037500001,2343.4989129166665,2611.75010125,16778.47628,2977.573751666667,11144.346577083334,6684.798705416666,1406.6088683333335,7580.357619583334,6799.666875,3152.0783874999997,15351.869770416668,133.0
228,Denmark,2012,6822.597999583333,2356.19355625,2798.380649166667,17348.08069125,3025.3283537499997,11243.831030833333,6918.605585833334,1532.77304,7721.426385833333,6996.046891666666,3232.2138875,15406.7089,129.0
229,Denmark,2013,6959.75725875,2371.1319916666666,2742.233687916667,17896.010684166667,3056.3417295833333,11453.642545416667,7267.076782083333,1399.1002766666668,7683.360770833333,7016.638115000001,3376.7354541666664,15247.772470833334,134.0
230,Denmark,2014,6973.052995833333,2450.2810266666665,2625.3451991666666,18037.668655833335,3142.231834166667,11914.004345833333,7378.218309166667,1470.87472625,7756.848440000001,7378.4543791666665,3551.114283333333,15631.232052916666,135.0
231,Denmark,2015,7143.937645833333,2375.1049179166666,2731.7468625,18497.071935,3304.2311225,12233.981678333332,7638.577200833333,1624.5357216666669,8116.9268925,7433.5632375,3722.127016666667,16175.701654583334,124.0
232,Denmark,2016,7354.776391666666,2387.9784741666667,2836.6781129166666,18402.833666666666,3549.7365112499997,12553.260351666666,7812.857945833333,1541.7711133333332,8485.389458333333,7374.1207875,3808.584804166667,16396.227433750002,122.0
233,Denmark,2017,7914.012807916667,2534.61639375,2809.988041666667,18788.52115,3776.9623083333336,12894.934520416668,8213.020937083335,1570.1561604166666,8981.495108333334,7466.181841666667,4022.0939624999996,16676.81034625,121.0
234,Denmark,2018,8202.61739375,2541.5879099999997,2929.983733333333,19554.239052916666,4059.429003333333,13103.884323749999,8801.000061249999,1640.8285187499998,9340.885804166666,7614.014508333334,4271.168716666666,17182.67764125,123.0
235,Denmark,2019,8378.023917916666,2601.355250416667,2965.0557995833333,19678.849320833335,3992.1297075,13272.076078749998,9000.832397916667,1572.2312283333333,9663.299998333334,7816.869520833334,4478.801508333333,17389.015842083332,119.0
236,Denmark,2020,9524.74130809524,2845.8818852380955,3098.8700747619046,21093.872828571428,4631.550501428572,14745.942463333333,8887.070844761905,1654.8392157142855,9497.155563809523,8408.620271428572,3632.9327190476192,18476.03925857143,119.0
237,Denmark,2021,19612.824682222225,5755.817012222222,6440.358746666667,44541.528666666665,9552.720222222222,30901.23316666667,18395.389128888888,3255.157797777778,19867.953233333334,17675.956,7664.799266666667,38620.66876666667,121.0
